"Institution (City, State)",Sector,Closure year,"Most recently reported total enrollment figures, covering a 12-month period","Most recently reported percentage of Pell Grant recipient students, covering a 12-month period","Most recently reported percentage of undergraduates receiving Pell grants, covering a 12-month period","Most recently reported total female undergraduate enrollment figures, covering a 12-month period","Most recently reported percentage of female students, covering a 12-month period","Most recently reported total minority undergraduate enrollment figures, covering a 12-month period","Most recently reported percentage of minroity students, covering a 12-month period","Most recently reported total American Indian undergraduate enrollment figures, covering a 12-month period","Most recently reported total Asian undergraduate enrollment figures, covering a 12-month period","Most recently reported total Black undergraduate enrollment figures, covering a 12-month period","Most recently reported total Hispanic undergraduate enrollment figures, covering a 12-month period","Most recently reported total Native Hawaiian undergraduate enrollment figures, covering a 12-month period","Most recently reported total White undergraduate enrollment figures, covering a 12-month period","Most recently reported total enrollment figures for undergraduates who disclosed two or more races, covering a 12-month period","Most recently reported total enrollment figures for undergraduates whose race/ethnicity was unknown or unreported, covering a 12-month period","Most recently reported total non-resident alien undergraduate enrollment figures, covering a 12-month period",Academic year: enrollment,Academic year: Pell grants
"Everest College-LA Wilshire (Los Angeles, CA)",For-profit,2014,462,216,77%,341,74%,438,95%,4,18,150,254,2,17,10,7,0,2013,2013
"King's College (Charlotte, NC)",For-profit,2018,461,278,77%,336,73%,304,66%,5,6,188,78,0,157,27,0,0,2017,2017
"Coast Career Institute (Los Angeles, CA)",For-profit,2016,461,361,78%,181,39%,431,93%,2,2,177,247,1,16,2,10,4,2015,2015
"Anthem Institute-Springfield (Springfield, PA)",For-profit,2014,461,162,84%,341,74%,334,72%,1,4,260,24,0,127,45,0,0,2013,2013
"Ecotech Institute (Aurora, CO)",For-profit,2018,458,194,42%,49,11%,105,23%,10,5,33,49,3,138,5,215,0,2017,2017
"ITT Technical Institute-Liverpool (Liverpool, NY)",For-profit,2016,458,181,84%,92,20%,168,37%,12,10,111,15,0,282,20,8,0,2015,2015
"The Robert B Miller College (Battle Creek, MI)",Private nonprofit,2016,457,136,49%,367,80%,40,9%,0,3,22,9,0,227,6,190,0,2015,2015
"ITT Technical Institute-Albany (Albany, NY)",For-profit,2016,456,179,77%,89,20%,173,38%,6,10,111,27,1,251,18,32,0,2015,2015
"ITT Technical Institute-Akron (Akron, OH)",For-profit,2016,455,214,82%,200,44%,149,33%,4,7,122,3,0,297,13,9,0,2015,2015
"Anthem College-Atlanta (Atlanta, GA)",For-profit,2014,453,217,83%,355,78%,431,95%,1,2,385,14,0,21,29,1,0,2013,2013
"Brightwood College-Palm Springs (Palm Springs, CA)",For-profit,2018,452,343,76%,359,79%,388,86%,1,5,28,352,1,51,1,13,0,2017,2017
"Superior Career Institute (LAUDERHILL, FL)",For-profit,2014,451,207,46%,342,76%,433,96%,6,6,383,33,3,15,2,3,0,2013,2013
"Le Cordon Bleu College of Culinary Arts-Miami (Miramar, FL)",For-profit,2017,450,497,60%,216,48%,231,51%,0,11,86,134,0,49,0,170,0,2017,2016
"Brightwood College-Laredo (Laredo, TX)",For-profit,2018,450,349,78%,349,78%,447,99%,0,0,0,447,0,2,0,1,0,2017,2017
"The Art Institutes International-Minnesota (Minneapolis, MN)",For-profit,2017,447,415,58%,254,57%,130,29%,7,24,65,26,6,294,2,21,2,2017,2016
"Brightwood College-Chula Vista (Chula Vista, CA)",For-profit,2018,447,326,73%,375,84%,404,90%,0,19,37,340,2,27,6,16,0,2017,2017
"Altierus Career College-Arlington (Arlington, TX)",Private nonprofit,2018,446,194,66%,255,57%,369,83%,1,6,199,143,2,55,18,22,0,2017,2017
"McNally Smith College of Music (Saint Paul, MN)",For-profit,2017,445,175,41%,130,29%,112,25%,2,10,47,9,0,298,44,3,32,2017,2016
"Argosy University-San Diego (San Diego, CA)",For-profit,2018,445,98,58%,254,57%,295,66%,7,18,137,121,12,133,0,9,8,2017,2017
"Los Angeles ORT College-Van Nuys Campus (Van Nuys, CA)",Private nonprofit,2018,438,346,79%,305,70%,284,65%,0,32,46,204,0,98,2,16,40,2017,2017
"Altierus Career Education-South Plainfield (South Plainfield, NJ)",Private nonprofit,2018,434,271,62%,271,62%,367,85%,0,7,146,191,1,64,22,3,0,2017,2017
"Anthem College-Fenton (Fenton, MO)",For-profit,2014,433,193,78%,398,92%,64,15%,2,1,38,6,0,368,17,0,1,2013,2013
"Kaplan College-Phoenix (Phoenix, AZ)",For-profit,2014,431,222,52%,345,80%,175,41%,17,3,22,132,1,229,0,27,0,2013,2013
"Anthem College-Denver (Aurora, CO)",For-profit,2014,431,183,67%,340,79%,252,58%,6,15,91,108,0,179,32,0,0,2013,2013
"Lincoln Technical Institute-Hamden (Hamden, CT)",For-profit,2014,430,296,69%,282,66%,224,52%,1,1,140,71,0,127,11,79,0,2013,2013
"Everest University-Jacksonville (Jacksonville, FL)",Private nonprofit,2017,429,236,64%,323,75%,291,68%,1,10,231,26,2,92,21,46,0,2016,2016
"Sanford-Brown Institute-Tampa (Tampa, FL)",For-profit,2014,429,213,67%,362,84%,53,12%,1,1,29,19,0,25,3,351,0,2014,2014
"Anthem College-Maryland Heights (Maryland Heights, MO)",For-profit,2014,429,180,74%,372,87%,287,67%,3,2,252,11,0,142,19,0,0,2013,2013
"ITT Technical Institute-Newburgh (Newburgh, IN)",For-profit,2016,426,176,79%,199,47%,65,15%,1,2,50,7,0,348,5,13,0,2015,2015
"Le Cordon Bleu College of Culinary Arts-Chicago (Chicago, IL)",For-profit,2017,424,647,64%,232,55%,188,44%,1,13,155,13,1,77,5,159,0,2017,2016
"ITT Technical Institute-Oakland (Oakland, CA)",For-profit,2016,424,114,67%,97,23%,344,81%,4,55,151,115,0,52,19,28,0,2015,2015
"Midwest Technical Institute (Brownsburg, IN)",For-profit,2017,422,265,63%,114,27%,122,29%,0,4,94,19,0,296,5,4,0,2016,2016
"Westwood College-Aurora Campus (Aurora, CO)",For-profit,2016,422,160,69%,226,54%,124,29%,4,1,12,101,2,33,4,265,0,2015,2015
"McCann School of Business & Technology (Hazle Township, PA)",For-profit,2018,422,189,79%,266,63%,140,33%,2,2,16,107,1,278,12,4,0,2017,2017
"DeVry University-Michigan (Southfield, MI)",For-profit,2015,421,133,72%,245,58%,259,62%,1,7,231,14,2,153,4,6,3,2015,2015
"Marinello Schools of Beauty-Niantic (Niantic, CT)",For-profit,2016,420,197,47%,397,95%,124,30%,13,5,21,81,1,288,3,8,0,2015,2015
"Everest College-McLean (Vienna, VA)",For-profit,2015,420,126,53%,368,88%,341,81%,2,25,164,124,2,52,24,27,0,2014,2014
"Anamarc College-El Paso East (El Paso, TX)",For-profit,2014,420,376,86%,353,84%,414,99%,2,2,2,408,0,6,0,0,0,2013,2013
"Bauder College (Atlanta, GA)",For-profit,2016,418,261,66%,355,85%,395,94%,3,6,375,11,0,21,0,0,2,2015,2015
"Kaplan Career Institute-Cleveland (Brooklyn, OH)",For-profit,2015,418,334,80%,156,37%,277,66%,5,1,208,60,2,113,1,28,0,2014,2014
"Bethel Seminary-St Paul (Saint Paul, MN)",Private nonprofit,2018,416,,NA,147,35%,79,19%,0,25,40,5,0,297,9,32,8,2017,NA
"National American University-Brooklyn Center (Brooklyn Center, MN)",For-profit,2018,415,181,74%,288,69%,199,48%,8,25,153,8,1,191,4,23,2,2017,2017
"ITT Technical Institute-Concord (Concord, CA)",For-profit,2016,414,177,76%,74,18%,256,62%,3,71,73,85,2,137,22,21,0,2015,2015
"ITT Technical Institute-Springfield (Springfield, IL)",For-profit,2016,413,235,85%,158,38%,152,37%,2,0,124,14,0,258,12,3,0,2015,2015
"Video Symphony (Burbank, CA)",For-profit,2015,412,148,54%,117,28%,227,55%,4,25,82,90,8,149,18,34,2,2014,2013
"Keystone Technical Institute (Harrisburg, PA)",For-profit,2017,410,269,66%,288,70%,107,26%,0,5,61,21,0,240,20,63,0,2016,2016
"Altierus Career College-Fort Worth South (Ft Worth, TX)",Private nonprofit,2018,409,189,74%,342,84%,323,79%,2,7,105,190,0,79,19,7,0,2017,2017
"Fortis College-Miami (Miami, FL)",For-profit,2014,409,179,53%,254,62%,365,89%,1,0,24,340,0,1,0,43,0,2013,2013
"Anthem College-Brookfield (Brookfield, WI)",For-profit,2014,408,183,71%,340,83%,186,46%,2,4,125,33,2,222,20,0,0,2013,2013
"Shepherd University (Los Angeles, CA)",Private nonprofit,2017,407,26,12%,196,48%,193,47%,2,107,24,54,2,21,4,9,184,2017,2016
"Sanford-Brown Institute-Garden City (Garden City, NY)",For-profit,2016,407,489,50%,359,88%,132,32%,1,13,46,71,1,52,0,223,0,2016,2015
"Westech College (Fontana, CA)",For-profit,2017,405,301,74%,288,71%,296,73%,3,8,65,216,3,62,1,47,0,2016,2016
"IBMC College (Colorado Springs, CO)",For-profit,2017,405,332,82%,287,71%,144,36%,0,4,36,68,2,256,34,5,0,2017,2017
"Le Cordon Bleu College of Culinary Arts - Orlando (Orlando, FL)",For-profit,2017,404,533,58%,203,50%,59,15%,1,4,17,32,0,35,5,310,0,2017,2016
"Vatterott College-ex'treme Institute by Nelly-St Louis (St. Louis, MO)",For-profit,2018,404,256,83%,79,20%,328,81%,5,1,312,2,0,67,8,9,0,2017,2017
"Fortis College-Cutler Bay (Cutler Bay, FL)",For-profit,2016,404,251,100%,336,83%,366,91%,2,1,113,246,0,18,4,20,0,2016,2016
"ITT Technical Institute-Arlington Heights (Arlington Heights, IL)",For-profit,2016,402,142,61%,60,15%,213,53%,1,29,47,121,0,172,15,17,0,2015,2015
"Dade Medical College-West Palm Beach (West Palm Beach, FL)",For-profit,2015,401,197,50%,343,86%,382,95%,2,3,220,156,0,19,1,0,0,2015,2014
"ITT Technical Institute-Madison (Madison, MS)",For-profit,2016,400,199,85%,133,33%,321,80%,9,0,302,5,0,74,5,5,0,2015,2015
"Sanford-Brown Institute-White Plains (White Plains, NY)",For-profit,2015,399,194,49%,364,91%,290,73%,2,5,112,170,0,88,1,21,0,2014,2014
"Marinello Schools of Beauty-Moreno Valley (Moreno Valley, CA)",For-profit,2016,398,303,76%,376,94%,305,77%,4,17,83,193,2,86,6,7,0,2015,2015
"Vatterott College-Springfield (Springfield, MO)",For-profit,2018,398,235,86%,202,51%,49,12%,9,1,22,10,0,338,7,11,0,2017,2017
"Marinello Schools of Beauty-East Hartford (East Hartford, CT)",For-profit,2016,397,314,79%,299,75%,310,78%,4,3,160,142,0,83,1,4,0,2015,2015
"Everest Institute-Detroit (Detroit, MI)",Private nonprofit,2016,394,506,74%,322,82%,380,96%,0,5,358,4,0,9,13,5,0,2016,2015
"Dade Medical College-Homestead (Homestead, FL)",For-profit,2015,394,315,79%,350,89%,375,95%,6,2,64,299,0,17,4,2,0,2015,2014
"Brightwood College-Bakersfield (Bakersfield, CA)",For-profit,2018,394,317,80%,335,85%,332,84%,8,9,25,287,1,54,2,8,0,2017,2017
"ITT Technical Institute-Huntington (Huntington, WV)",For-profit,2016,393,184,85%,140,36%,34,9%,1,0,25,3,0,348,5,11,0,2015,2015
"ITT Technical Institute-Salem (Salem, VA)",For-profit,2016,392,175,76%,226,58%,161,41%,4,7,133,5,0,223,12,8,0,2015,2015
"Brightwood College-Fort Worth (Fort Worth, TX)",For-profit,2018,390,283,73%,344,88%,293,75%,2,4,102,180,2,70,3,27,0,2017,2017
"McCann School of Business & Technology (Wilkes-Barre, PA)",For-profit,2018,390,130,79%,224,57%,147,38%,1,1,91,46,1,237,7,6,0,2017,2017
"Institute of Technical Arts (Casselberry, FL)",For-profit,2015,389,190,49%,337,87%,166,43%,2,1,33,127,0,223,3,0,0,2014,2014
"Erie Business Center-Erie (Erie, PA)",For-profit,2014,389,201,85%,282,72%,164,42%,0,5,128,14,9,217,8,8,0,2014,2013
"National American University-Zona Rosa (Kansas City, MO)",For-profit,2018,388,190,79%,336,87%,127,33%,4,9,78,31,0,246,5,12,3,2017,2017
"Everest Institute-Cross Lanes (Cross Lanes, WV)",For-profit,2015,387,288,74%,285,74%,65,17%,1,1,46,5,0,320,12,2,0,2014,2014
"Global Health College (Alexandria, VA)",For-profit,2017,386,149,42%,330,85%,354,92%,0,45,285,15,1,15,8,17,0,2017,2016
"Le Cordon Bleu College of Culinary Arts-Dallas (Dallas, TX)",For-profit,2017,386,471,56%,175,45%,142,37%,1,10,105,19,1,97,6,147,0,2017,2016
"Everest College-North Aurora (North Aurora, IL)",For-profit,2015,386,256,66%,304,79%,243,63%,2,7,62,152,0,135,20,8,0,2014,2014
"ITT Technical Institute-Orlando (Lake Mary, FL)",For-profit,2016,385,164,73%,153,40%,242,63%,4,2,108,112,0,133,16,10,0,2015,2015
"Lincoln Technical Institute-Northeast Philadelphia (Philadelphia, PA)",For-profit,2017,385,325,84%,308,80%,291,76%,0,12,189,73,0,92,17,2,0,2016,2016
"Northland International University (Dunbar, WI)",Private nonprofit,2015,384,151,62%,168,44%,30,8%,2,6,7,7,8,272,0,68,14,2014,2014
"Charter College-Canyon Country (Canyon Country, CA)",For-profit,2016,384,836,79%,290,76%,294,77%,2,14,99,159,0,83,20,7,0,2016,2015
"International Beauty School (Cumberland, MD)",For-profit,2015,384,384,100%,335,87%,56,15%,0,0,53,3,0,328,0,0,0,2014,2014
"Kaplan College-Jacksonville (Jacksonville, FL)",For-profit,2015,383,299,78%,306,80%,259,68%,1,6,219,31,1,117,1,6,1,2014,2014
"University of Southernmost Florida (Jacksonville, FL)",For-profit,2015,382,58,54%,311,81%,292,76%,0,0,13,279,0,83,0,7,0,2015,2014
"Serbias Technical College (Guayama, PR)",For-profit,2014,382,562,100%,255,67%,382,100%,0,0,0,382,0,0,0,0,0,2014,2013
"ITT Technical Institute-Brooklyn Center (Brooklyn Center, MN)",For-profit,2016,381,114,65%,78,20%,177,46%,6,45,113,9,0,162,4,42,0,2015,2015
"ITT Technical Institute-Salem (Salem, OR)",For-profit,2016,381,162,86%,59,15%,93,24%,4,9,16,38,0,279,26,9,0,2015,2015
"Everest College-Vancouver (Vancouver, WA)",Private nonprofit,2016,379,253,67%,327,86%,97,26%,2,11,13,35,10,266,26,16,0,2015,2015
"National American University-Albuquerque (Albuquerque, NM)",For-profit,2018,379,157,69%,261,69%,241,64%,43,3,28,156,3,120,8,18,0,2017,2017
"Bradford School (Pittsburgh, PA)",For-profit,2018,379,237,69%,263,69%,82,22%,0,13,55,1,0,285,13,12,0,2017,2017
"Anthem College-Minnesota (St. Louis Park, MN)",For-profit,2014,379,195,69%,295,78%,190,50%,2,37,107,12,0,189,32,0,0,2013,2013
"Sanford-Brown College-San Antonio (San Antonio, TX)",For-profit,2014,376,163,59%,309,82%,121,32%,2,5,35,76,1,87,2,168,0,2014,2014
"Brown Mackie College-Birmingham (Birmingham, AL)",For-profit,2017,376,507,82%,278,74%,332,88%,3,2,317,9,1,42,0,2,0,2017,2016
"ITT Technical Institute-Chattanooga (Chattanooga, TN)",For-profit,2016,376,190,84%,100,27%,135,36%,5,3,99,15,1,235,12,6,0,2015,2015
"Altierus Career College-Chesapeake (Chesapeake, VA)",Private nonprofit,2018,372,137,61%,239,64%,271,73%,0,5,224,16,4,87,22,14,0,2017,2017
"Anthem College-Kansas City (Kansas City, MO)",For-profit,2014,370,182,69%,317,86%,238,64%,3,5,177,16,3,132,34,0,0,2013,2013
"Dade Medical College-Hollywood (Hollywood, FL)",For-profit,2015,370,295,72%,308,83%,353,95%,8,4,201,140,0,14,0,3,0,2015,2014
"Brightwood College-Fresno (Clovis, CA)",For-profit,2018,370,272,74%,324,88%,295,80%,0,10,30,249,2,59,4,16,0,2017,2017
"Trine University-Arizona Regional Campus (Peoria, AZ)",Private nonprofit,2017,367,19,6%,222,60%,131,36%,2,21,19,77,2,197,10,14,25,2017,2016
"Everest University-North Orlando (Orlando, FL)",Private nonprofit,2017,367,192,71%,255,69%,277,75%,1,15,175,65,3,71,18,17,2,2016,2016
"ITT Technical Institute-Douglasville (Douglasville, GA)",For-profit,2016,367,136,80%,95,26%,239,65%,1,2,209,15,0,118,12,10,0,2015,2015
"Digital Media Arts College (Boca Raton, FL)",For-profit,2017,365,188,70%,129,35%,181,50%,1,6,64,103,0,97,7,87,0,2017,2016
"ITT Technical Institute-Eden Prairie (Eden Prairie, MN)",For-profit,2016,364,143,66%,71,20%,121,33%,7,31,47,24,1,234,11,9,0,2015,2015
"Dewey University-Bayamon (Bayamon, PR)",Private nonprofit,2017,362,242,100%,284,78%,362,100%,0,0,0,362,0,0,0,0,0,2017,2017
"ITT Technical Institute-Harrisburg (Harrisburg, PA)",For-profit,2016,362,131,75%,76,21%,152,42%,5,4,78,46,0,191,19,19,0,2015,2015
"Altierus Career College-Tigard (Tigard, OR)",Private nonprofit,2018,361,185,51%,300,83%,151,42%,5,10,5,104,10,147,17,63,0,2017,2017
"National American University-Lee's Summit (Lee's Summit, MO)",For-profit,2018,360,137,75%,300,83%,151,42%,4,2,133,5,2,181,5,28,0,2017,2017
"Micropower Career Institute (New York, NY)",For-profit,2014,359,183,51%,299,83%,324,90%,0,5,195,124,0,35,0,0,0,2013,2013
"ITT Technical Institute-South Bend (South Bend, IN)",For-profit,2016,359,174,78%,183,51%,144,40%,1,3,102,22,0,205,16,10,0,2015,2015
"ITT Technical Institute-Westminster (Westminster, CO)",For-profit,2016,358,148,70%,81,23%,150,42%,12,10,11,97,0,200,20,8,0,2015,2015
"DeVry University-Wisconsin (Green Bay, WI)",For-profit,2016,356,80,58%,185,52%,151,42%,3,10,107,29,0,192,2,6,7,2015,2015
"Sanford-Brown College-Houston (Houston, TX)",For-profit,2016,355,392,58%,306,86%,101,28%,0,5,42,49,1,11,4,243,0,2016,2015
"Everest University-Largo (Largo, FL)",Private nonprofit,2016,354,331,78%,232,66%,158,45%,2,5,91,37,2,174,21,22,0,2016,2015
"Ridley-Lowell Business & Technical Institute-New London (New London, CT)",For-profit,2018,354,169,48%,270,76%,173,49%,0,2,78,77,0,175,16,6,0,2017,2017
"ITT Technical Institute-Tarentum (Tarentum, PA)",For-profit,2016,354,156,76%,70,20%,46,13%,1,2,28,5,1,301,9,7,0,2015,2015
"CET-Chicago (Chicago, IL)",Private nonprofit,2015,351,342,97%,170,48%,348,99%,1,0,312,33,0,3,2,0,0,2014,2014
"Wood Tobe-Coburn School (New  York, NY)",For-profit,2017,351,272,87%,244,70%,338,96%,2,14,107,208,2,12,5,1,0,2017,2016
"Marinello Schools of Beauty-Reno (Reno, NV)",For-profit,2016,349,321,72%,347,99%,135,39%,7,10,13,88,3,205,14,8,1,2015,2014
"ITT Technical Institute-Pittsburgh (Pittsburgh, PA)",For-profit,2016,349,141,79%,70,20%,113,32%,1,3,100,5,0,223,4,13,0,2015,2015
"ITT Technical Institute-Myrtle Beach (Myrtle Beach, SC)",For-profit,2016,349,127,84%,102,29%,171,49%,3,4,147,7,0,172,10,6,0,2015,2015
"Strayer University-Wisconsin (Milwaukee, WI)",For-profit,2014,346,90,88%,226,65%,292,84%,0,5,252,25,0,47,10,7,0,2013,2013
"Concordia College Alabama (Selma, AL)",Private nonprofit,2018,345,291,86%,167,48%,317,92%,0,0,316,1,0,15,0,1,12,2017,2017
"Burlington College (Burlington, VT)",Private nonprofit,2016,344,84,44%,189,55%,30,9%,0,0,15,5,0,175,10,137,2,2015,2015
"Branford Hall Career Institute-Windsor Campus (Windsor, CT)",For-profit,2018,343,242,71%,230,67%,251,73%,3,6,123,101,0,77,18,15,0,2017,2017
"Marian Court College (Swampscott, MA)",Private nonprofit,2015,342,90,34%,233,68%,86,25%,0,7,22,57,0,126,0,130,0,2015,2014
"Everest Institute-Marietta (Marietta, GA)",Private nonprofit,2017,342,215,63%,313,92%,234,68%,2,4,169,42,1,102,16,6,0,2016,2016
"National American University-Bloomington (Bloomington, MN)",For-profit,2018,341,145,64%,247,72%,184,54%,6,19,139,14,0,135,6,21,1,2017,2017
"Star Career Academy-Clifton (Clifton, NJ)",For-profit,2016,341,308,77%,304,89%,287,84%,0,1,106,180,0,47,0,7,0,2016,2015
"Branford Hall Career Institute-North Brunswick (North Brunswick, NJ)",For-profit,2018,341,262,77%,250,73%,265,78%,2,8,122,123,1,56,9,20,0,2017,2017
"Globe University-Minneapolis (Minneapolis, MN)",For-profit,2017,339,35,67%,150,44%,58,17%,2,15,34,7,0,82,0,4,195,2016,2015
"Brightwood Career Institute-Harrisburg (Harrisburg, PA)",For-profit,2018,339,253,75%,287,85%,189,56%,2,6,108,65,0,114,8,36,0,2017,2017
"Ridley-Lowell Business & Technical Institute-Poughkeepsie (Poughkeepsie, NY)",For-profit,2018,338,63,19%,210,62%,201,59%,1,2,124,56,0,134,18,1,2,2017,2017
"Utica School of Commerce (Utica, NY)",For-profit,2016,337,159,57%,267,79%,51,15%,1,2,29,8,0,286,11,0,0,2016,2015
"Lincoln Technical Institute-Hartford (Hartford, CT)",For-profit,2016,336,181,54%,186,55%,174,52%,3,2,65,90,0,154,14,8,0,2016,2016
"National American University-Colorado Springs (Colorado Springs, CO)",For-profit,2018,335,113,58%,177,53%,150,45%,3,13,73,53,4,160,4,22,3,2017,2017
"Kilian Community College (Sioux Falls, SD)",Private nonprofit,2016,333,147,66%,204,61%,87,26%,25,3,52,7,0,188,0,58,0,2015,2015
"Court Reporting Institute of St Louis (Clayton, MO)",For-profit,2017,333,106,52%,313,94%,97,29%,3,2,66,13,0,192,13,44,0,2016,2016
"Paul Mitchell the School-Murfreesboro (Murfreesboro, TN)",For-profit,2014,333,188,56%,312,94%,104,31%,1,2,92,5,0,217,4,12,0,2015,2015
"Heritage College-Cleveland (Middleburg Heights, OH)",For-profit,2017,333,136,67%,272,82%,190,57%,0,4,134,43,1,115,8,28,0,2016,2015
"Thunderbird School of Global Management (Glendale, AZ)",Public,2018,332,0,0%,141,42%,83,25%,2,17,16,41,2,132,5,7,110,2017,2014
"LIU Hudson at Rockland (Orangeburg, NY)",Private nonprofit,2016,332,,NA,263,79%,74,22%,0,10,31,30,0,183,3,75,0,2016,NA
"ITT Technical Institute-Maumee (Maumee, OH)",For-profit,2016,331,160,82%,68,21%,108,33%,3,0,81,17,0,212,7,11,0,2015,2015
"Miller-Motte Technical College-Madison (Madison, TN)",For-profit,2017,330,86,58%,89,27%,165,50%,2,2,135,22,0,161,4,4,0,2017,2017
"Dade Medical College-Jacksonville (Jacksonville, FL)",For-profit,2015,325,113,35%,291,90%,280,86%,0,7,235,36,0,43,2,2,0,2015,2014
"Culinary Academy of Long Island (Syosset, NY)",For-profit,2016,324,217,48%,178,55%,221,68%,0,8,147,58,0,81,8,22,0,2016,2015
"Central Florida Institute (Palm Harbor, FL)",For-profit,2014,324,171,53%,261,81%,114,35%,1,2,34,72,0,204,5,6,0,2014,2014
"Kaplan College-Lubbock (Lubbock, TX)",For-profit,2016,324,221,68%,288,89%,264,81%,0,1,32,228,0,60,3,0,0,2016,2016
"Eagle Gate College-Salt Lake City (Salt Lake City, UT)",For-profit,2015,323,117,63%,212,66%,65,20%,8,2,7,41,4,192,3,66,0,2014,2014
"Tramy Beauty School (San Diego, CA)",For-profit,2016,321,157,49%,229,71%,297,93%,1,160,10,123,1,21,2,1,2,2015,2015
"Medical Professional Institute (Malden, MA)",For-profit,2017,321,157,49%,275,86%,222,69%,4,15,147,56,0,79,0,20,0,2016,2016
"ITT Technical Institute-Dunmore (Dunmore, PA)",For-profit,2016,320,135,79%,56,18%,67,21%,2,4,35,19,0,232,7,21,0,2015,2015
"ITT Technical Institute-Waco (Waco, TX)",For-profit,2016,320,144,83%,86,27%,178,56%,4,4,87,73,0,134,10,8,0,2015,2015
"Altierus Career College-Colorado Springs (Colorado Springs, CO)",Private nonprofit,2018,319,76,62%,236,74%,188,59%,5,4,114,33,7,110,25,21,0,2017,2017
"Everest University-Melbourne (Melbourne, FL)",Private nonprofit,2017,319,169,77%,261,82%,165,52%,3,4,97,45,3,147,13,7,0,2016,2016
"YTI Career Institute-Capital Region (Mechanicsburg, PA)",For-profit,2014,319,200,63%,234,73%,47,15%,1,6,9,16,1,271,14,1,0,2013,2013
"Dewey University-Fajardo (Fajardo, PR)",Private nonprofit,2017,318,152,94%,268,84%,318,100%,0,0,0,318,0,0,0,0,0,2017,2017
"Strayer University-Louisiana (Metairie, LA)",For-profit,2015,318,87,64%,213,67%,241,76%,0,5,214,15,2,58,5,19,0,2014,2014
"Euphoria Institute of Beauty Arts & Sciences-Las Vegas (Las Vegas, NV)",For-profit,2014,318,210,66%,308,97%,207,65%,4,5,62,93,8,106,35,5,0,2013,2013
"Helms Career Institute (Macon, GA)",Private nonprofit,2016,317,401,87%,262,83%,250,79%,0,1,245,3,0,67,1,0,0,2015,2014
"National American University-Denver (Denver, CO)",For-profit,2015,317,154,71%,245,77%,177,56%,3,6,91,44,4,138,29,1,1,2015,2015
"Sanford-Brown College-Phoenix (Phoenix, AZ)",For-profit,2014,316,172,59%,276,87%,45,14%,3,1,4,34,0,9,3,262,0,2014,2014
"Career College of California (Santa Ana, CA)",For-profit,2016,316,196,62%,282,89%,286,91%,0,16,5,263,2,29,0,1,0,2015,2015
"ITT Technical Institute-Wichita (Wichita, KS)",For-profit,2016,310,140,74%,116,37%,105,34%,7,8,52,25,0,172,13,33,0,2015,2015
"McCann School of Business & Technology (Carlisle, PA)",For-profit,2017,309,73,54%,133,43%,77,25%,0,4,57,16,0,224,0,8,0,2017,2017
"Everest College-Kansas City (Kansas City, MO)",Private nonprofit,2016,304,1,100%,281,92%,213,70%,4,8,149,29,0,75,23,16,0,2016,2016
"BioHealth College (San Jose, CA)",For-profit,2014,300,202,67%,150,50%,240,80%,0,70,42,123,2,60,3,0,0,2013,2013
"Brightwood College-Friendswood (Friendswood, TX)",For-profit,2018,299,220,74%,279,93%,197,66%,0,3,87,99,2,97,6,5,0,2017,2017
"ITT Technical Institute-Johnson City (Johnson City, TN)",For-profit,2016,299,102,84%,75,25%,45,15%,2,3,25,7,0,248,8,6,0,2015,2015
"Altierus Career College-San Antonio (San Antonio, TX)",Private nonprofit,2018,298,193,65%,139,47%,245,82%,2,6,49,179,1,45,8,8,0,2017,2017
"Globe UniversityGreen Bay (Green Bay, WI)",For-profit,2016,298,116,63%,259,87%,38,13%,9,4,9,13,1,248,2,12,0,2015,2015
"Brillare Hairdressing Academy (Scottsdale, AZ)",For-profit,2014,297,170,57%,267,90%,84,28%,4,5,15,44,4,212,12,1,0,2013,2013
"Platt College-Dallas (Dallas, TX)",For-profit,2014,296,264,89%,261,88%,251,85%,1,3,186,59,0,44,2,1,0,2013,2013
"Vatterott College-Joplin (Joplin, MO)",For-profit,2018,290,179,93%,121,42%,48,17%,13,0,20,6,1,235,8,7,0,2017,2017
"Lincoln Technical Institute-Fern Park (Fern Park, FL)",For-profit,2016,289,213,74%,241,83%,194,67%,3,4,99,76,1,83,11,12,0,2015,2015
"Career Point College (Austin, TX)",For-profit,2016,286,221,71%,259,91%,206,72%,0,0,93,113,0,77,0,3,0,2015,2015
"Forest Institute of Professional Psychology (Springfield, MO)",Private nonprofit,2015,284,,NA,207,73%,36,13%,6,9,13,3,0,237,5,11,0,2014,NA
"ITT Technical Institute-Springfield (Springfield, MO)",For-profit,2016,283,148,89%,72,25%,49,17%,5,5,25,11,0,225,3,9,0,2015,2015
"Vantage College (El Paso, TX)",For-profit,2017,281,115,44%,202,72%,249,89%,0,3,29,217,0,25,0,7,0,2016,2015
"Brightwood College-Beaumont (Beaumont, TX)",For-profit,2018,281,182,65%,254,90%,173,62%,1,2,136,33,0,87,1,21,0,2017,2017
"Sanford-Brown Institute-Ft Lauderdale (Fort Lauderdale, FL)",For-profit,2016,280,233,55%,239,85%,64,23%,0,1,24,36,1,27,2,189,0,2016,2015
"New Life Business Institute (Jamaica, NY)",For-profit,2017,279,271,85%,205,73%,248,89%,0,2,199,44,0,6,3,25,0,2016,2015
